22,0
8,0.002
17,0.002
7,0.004
18,0.004
29,0.005
27,0.005
1,0.005
27,0.006
5,0.006
17,0.006
1,0.007
7,0.007
26,0.007
15,0.008
11,0.009
16,0.009
21,0.009
11,0.01
21,0.01
2,0.011
21,0.011
16,0.012
3,0.013
30,0.013
24,0.013
4,0.014
28,0.014
5,0.014
15,0.015
25,0.016
23,0.016
6,0.017
11,0.017
5,0.017
15,0.017
29,0.018
16,0.019
9,0.02
13,0.02
15,0.021
10,0.021
19,0.024
21,0.025
26,0.025
27,0.025
16,0.027
1,0.028
30,0.028
29,0.03
9,0.031
21,0.032
2,0.032
2,0.032
1,0.033
27,0.033
3,0.034
28,0.037
4,0.037
14,0.038
16,0.039
7,0.04
27,0.041
15,0.041
29,0.042
11,0.042
25,0.043
12,0.043
8,0.045
21,0.045
28,0.045
26,0.046
21,0.047
10,0.047
26,0.048
4,0.048
26,0.049
24,0.049
8,0.052
17,0.052
15,0.054
9,0.055
15,0.055
14,0.055
26,0.056
2,0.056
6,0.06
10,0.061
30,0.062
6,0.064
1,0.064
1,0.065
2,0.067
16,0.067
28,0.068
5,0.07
23,0.071
3,0.071
19,0.074
20,0.074
15,0.074
17,0.075
4,0.075
10,0.075
5,0.075
18,0.076
19,0.077
26,0.077
11,0.078
16,0.079
15,0.08
26,0.08
20,0.081
14,0.081
17,0.081
7,0.081
23,0.082
8,0.082
30,0.082
7,0.084
5,0.084
14,0.084
22,0.086
11,0.087
26,0.087
1,0.088
17,0.091
26,0.091
2,0.091
8,0.091
23,0.091
6,0.092
25,0.092
4,0.093
22,0.093
23,0.094
1,0.096
21,0.096
21,0.097
5,0.097
26,0.099
3,0.101
13,0.101
23,0.102
13,0.102
27,0.104
28,0.104
4,0.107
11,0.107
20,0.108
8,0.109
30,0.109
28,0.111
13,0.111
8,0.112
14,0.113
5,0.114
19,0.116
12,0.116
25,0.117
24,0.117
26,0.118
25,0.118
26,0.119
2,0.12
11,0.123
20,0.124
6,0.124
12,0.125
25,0.125
7,0.125
23,0.128
17,0.128
10,0.129
6,0.13
26,0.13
23,0.132
25,0.132
4,0.132
11,0.133
29,0.135
27,0.135
29,0.136
8,0.137
22,0.138
28,0.139
9,0.139
2,0.141
27,0.141
9,0.142
16,0.145
17,0.146
4,0.146
14,0.146
27,0.149
9,0.149
25,0.149
25,0.15
9,0.151
15,0.151
12,0.152
15,0.153
7,0.153
13,0.154
19,0.154
24,0.155
7,0.155
4,0.156
26,0.156
20,0.156
18,0.157
17,0.158
25,0.158
21,0.161
26,0.162
9,0.163
27,0.163
28,0.164
13,0.164
12,0.165
17,0.165
9,0.166
11,0.166
12,0.167
11,0.168
23,0.169
4,0.169
28,0.17
23,0.171
12,0.172
13,0.173
19,0.173
25,0.174
4,0.175
19,0.176
7,0.177
23,0.178
27,0.178
11,0.178
20,0.178
22,0.179
25,0.179
15,0.18
30,0.18
23,0.182
13,0.183
21,0.183
15,0.183
19,0.184
16,0.185
22,0.185
14,0.185
14,0.186
1,0.187
28,0.189
2,0.189
8,0.19
1,0.191
1,0.192
18,0.193
29,0.194
3,0.194
25,0.195
4,0.195
29,0.197
16,0.197
19,0.198
1,0.198
12,0.2
1,0.2
5,0.202
7,0.202
14,0.203
2,0.204
29,0.205
28,0.205
24,0.205
3,0.205
14,0.206
17,0.206
15,0.206
28,0.206
12,0.208
18,0.209
26,0.209
18,0.21
4,0.21
10,0.212
1,0.212
2,0.213
21,0.215
25,0.215
6,0.215
1,0.216
12,0.217
15,0.217
11,0.217
3,0.218
12,0.219
14,0.22
16,0.221
7,0.221
8,0.223
13,0.224
3,0.224
18,0.226
6,0.226
13,0.226
4,0.228
11,0.229
9,0.229
21,0.231
28,0.231
14,0.232
11,0.233
28,0.233
9,0.235
29,0.236
12,0.237
27,0.237
20,0.238
19,0.238
9,0.239
18,0.24
20,0.24
22,0.24
9,0.241
30,0.242
9,0.243
25,0.243
13,0.245
8,0.246
29,0.246
12,0.247
25,0.248
15,0.249
9,0.25
27,0.25
10,0.251
22,0.251
21,0.252
10,0.252
12,0.252
9,0.252
21,0.253
1,0.253
29,0.255
10,0.255
26,0.255
22,0.256
13,0.256
1,0.258
22,0.258
8,0.259
14,0.261
26,0.262
2,0.262
18,0.263
23,0.264
27,0.264
3,0.265
19,0.265
14,0.266
29,0.266
4,0.266
27,0.267
24,0.268
22,0.269
1,0.27
9,0.271
13,0.272
17,0.273
1,0.274
2,0.275
19,0.275
10,0.275
20,0.276
26,0.277
23,0.277
3,0.277
5,0.278
25,0.278
30,0.278
4,0.279
11,0.279
21,0.28
12,0.281
10,0.283
22,0.283
6,0.284
13,0.284
8,0.284
26,0.287
29,0.288
25,0.288
11,0.289
10,0.29
12,0.292
15,0.292
19,0.294
19,0.295
28,0.295
26,0.295
8,0.296
24,0.297
14,0.298
5,0.298
14,0.299
6,0.299
21,0.299
22,0.299
15,0.299
15,0.3
21,0.3
28,0.3
30,0.301
9,0.303
7,0.303
13,0.303
10,0.304
26,0.305
9,0.306
16,0.306
23,0.306
13,0.307
25,0.31
22,0.31
9,0.31
19,0.312
26,0.312
17,0.313
1,0.313
25,0.313
18,0.314
13,0.314
2,0.317
24,0.317
23,0.317
6,0.32
23,0.32
29,0.32
20,0.321
15,0.321
17,0.322
18,0.324
22,0.324
6,0.325
1,0.325
18,0.325
20,0.326
21,0.327
20,0.328
12,0.328
